ticker,issuer_name,cik,sector,status,archetype_guess,config_path,last_checked_at,last_filing_date_seen,last_processed_period,activation_fail_count,notes
CPRT,Copart,900075,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cprt.yaml,2026-06-03T10:44:41Z,2026-01-31,,0,
GLW,Corning Inc.,24741,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/glw.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CTVA,Corteva,1755672,Materials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ctva.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
COST,Costco,909832,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cost.yaml,2026-06-03T10:44:41Z,2026-02-15,,0,
CTRA,Coterra,858470,Energy,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ctra.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CRH,CRH plc,1782780,Materials,registered,,,2026-06-01T11:10:11Z,,,0,
CRWD,CrowdStrike,1535527,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/crwd.yaml,2026-06-03T10:44:41Z,2026-01-31,,0,
CSX,CSX Corporation,277948,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/csx.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CMI,Cummins,26172,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cmi.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CVS,CVS Health,64803,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cvs.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DHR,Danaher Corporation,313616,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dhr.yaml,2026-06-03T10:44:41Z,2026-03-27,,0,
DRI,Darden Restaurants,940944,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dri.yaml,2026-06-03T10:44:41Z,2026-02-22,,0,
DDOG,Datadog,1561550,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ddog.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DVA,DaVita,927066,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dva.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DECK,Deckers Brands,910521,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/deck.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DE,Deere & Company,315189,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/de.yaml,2026-06-03T10:44:41Z,2026-02-01,,0,
DELL,Dell Technologies,1571996,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dell.yaml,2026-06-03T10:44:41Z,2026-01-30,,0,
DAL,Delta Air Lines,27904,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dal.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DVN,Devon Energy,1090012,Energy,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dvn.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DXCM,Dexcom,1093557,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dxcm.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
FANG,Diamondback Energy,1539838,Energy,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/fang.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DG,Dollar General,29534,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dg.yaml,2026-06-03T10:44:41Z,2026-01-30,,0,
